Bouguer	eTh	eU	GT	Kperc	SRTM	SIGLA_UNID	X	Y
-44.4695	4.29	0.82	0.2592	3.02	306.37	A3_gamma_al	547500.0	9263500.0
-45.5261	3.87	1.06	0.086	3.03	300.81	A3_gamma_al	540250.0	9263750.0
-42.4434	4.77	2.22	0.454	3.3	321.15	A3_gamma_al	544625.0	9265875.0
-46.4476	6.01	1.09	0.442	4.91	309.77	A3_gamma_al	550750.0	9262875.0
-47.3573	3.73	0.65	0.4409	3.58	275.6	A3_gamma_al	552500.0	9263000.0
-44.4079	4.92	1.55	0.173	3.7	300.1	A3_gamma_al	541750.0	9264500.0
-43.7986	4.21	1.11	0.1004	2.73	299.08	A3_gamma_al	533625.0	9265750.0
-44.889	2.3	0.79	0.0283	2.56	294.1	A3_gamma_al	546625.0	9262500.0
-47.528	5.43	1.47	0.0403	2.09	274.1	A3_gamma_al	554750.0	9264750.0
-44.9248	3.83	0.81	0.0366	2.8	288.42	A3_gamma_al	537375.0	9264500.0
-43.0058	4.9	1.88	0.122	3.96	314.59	A3_gamma_al	544750.0	9264875.0
-45.1603	5.13	1.57	0.0512	3.13	288.17	A3_gamma_al	540750.0	9264125.0
-47.2733	4.74	0.86	0.3616	3.96	284.39	A3_gamma_al	552250.0	9262875.0
-43.7709	3.24	0.85	0.0812	2.63	312.16	A3_gamma_al	533000.0	9265500.0
-43.3352	5.3	1.03	0.3201	5.45	324.44	A3_gamma_al	544000.0	9264625.0
-43.4338	5.01	1.39	0.0694	3.15	298.23	A3_gamma_al	547000.0	9265125.0
-47.2993	4.89	1.22	0.3897	3.86	297.18	A3_gamma_al	552125.0	9262625.0
-43.6993	5.33	1.06	0.0222	3.04	300.34	A3_gamma_al	547625.0	9265125.0
-44.7106	4.19	2.13	0.2095	2.74	292.25	A3_gamma_al	540500.0	9264750.0
-43.8949	5.46	2.39	0.1269	2.76	291.83	A3_gamma_al	548375.0	9265500.0
-47.3631	5.63	1.04	0.1548	2.61	285.9	A3_gamma_al	552750.0	9263375.0
-44.5327	3.97	0.76	0.0341	3.18	283.54	A3_gamma_al	549250.0	9264875.0
-47.4184	6.57	1.73	0.0717	2.95	276.53	A3_gamma_al	554500.0	9264875.0
-45.3997	4.53	1.44	0.0667	3.38	282.15	A3_gamma_al	550125.0	9264125.0
-43.0722	6.12	1.1	0.3472	4.09	325.35	A3_gamma_al	544125.0	9264875.0
-46.95	5.33	1.14	0.0943	2.7	308.99	A3_gamma_al	528125.0	9265750.0
-45.8302	4.24	0.64	0.0689	3.16	276.78	A3_gamma_al	550375.0	9263625.0
-47.8464	3.91	1.72	0.3096	1.84	268.24	A3_gamma_al	553750.0	9263000.0
-44.2379	2.89	1.37	0.2123	2.99	306.92	A3_gamma_al	546500.0	9263500.0
-47.6323	4.31	1.93	0.442	3.76	278.56	A3_gamma_al	552875.0	9262625.0
-45.4365	4.09	0.69	0.0253	3.2	293.6	A3_gamma_al	539375.0	9264125.0
-44.1678	4.49	1.43	0.5554	4.53	309.69	A3_gamma_al	545625.0	9263500.0
-45.1603	5.05	1.13	0.4177	2.35	318.63	A3_gamma_al	530250.0	9265000.0
-38.2751	3.65	1.23	0.1612	1.03	307.98	A3_gamma_az	548000.0	9245875.0
-40.3937	4.08	1.55	0.1005	1.3	316.42	A3_gamma_az	553000.0	9247250.0
-42.8535	5.05	3.64	0.1903	2.48	305.56	A3_gamma_az	554500.0	9248625.0
-40.8879	4.88	1.43	0.0873	1.57	316.19	A3_gamma_az	554250.0	9246750.0
-38.3273	3.79	0.84	0.2102	0.83	309.7	A3_gamma_az	548500.0	9245875.0
-38.1962	5.25	0.99	0.157	1.3	296.5	A3_gamma_az	548625.0	9245625.0
-42.2776	4.23	1.8	0.1933	1.42	304.29	A3_gamma_az	554500.0	9248000.0
-37.7983	3.68	0.89	0.1286	1.45	298.15	A3_gamma_az	547875.0	9245250.0
-41.2833	4.05	1.56	0.1329	1.45	308.25	A3_gamma_az	553625.0	9247750.0
-38.3907	4.22	0.93	0.1641	0.95	310.61	A3_gamma_az	548375.0	9246000.0
-39.532	4.57	1.61	0.0835	0.68	299.12	A3_gamma_az	551250.0	9247375.0
-38.8816	3.19	1.1	0.0612	0.67	304.51	A3_gamma_az	549250.0	9246625.0
-39.4436	4.79	1.87	0.0442	1.18	313.62	A3_gamma_az	551500.0	9247000.0
-39.3455	4.96	1.76	0.0194	1.03	305.01	A3_gamma_az	550250.0	9247375.0
-38.1937	4.14	1.11	0.1815	0.81	306.69	A3_gamma_az	548125.0	9245750.0
-39.3172	3.24	0.98	0.0495	0.78	293.65	A3_gamma_az	550875.0	9247125.0
-38.4934	2.73	0.88	0.1478	0.78	295.87	A3_gamma_az	549625.0	9245750.0
-42.3147	2.6	1.67	0.1239	1.93	295.28	A3_gamma_az	553750.0	9248750.0
-42.3679	4.93	1.96	0.1586	1.2	310.68	A3_gamma_az	554750.0	9247875.0
-38.5616	2.02	0.98	0.6503	0.4	301.53	A3_gamma_az	549500.0	9246000.0
-42.1539	5.27	1.77	0.103	1.24	306.03	A3_gamma_az	554500.0	9247875.0
-41.1937	4.05	1.18	0.0713	1.29	313.45	A3_gamma_az	554500.0	9246875.0
-42.195	3.84	2.47	0.2139	1.99	297.0	A3_gamma_az	554125.0	9248250.0
-40.2967	5.08	1.26	0.0724	1.95	315.11	A3_gamma_az	553125.0	9247000.0
-41.5618	4.82	2.07	0.0828	0.79	307.2	A3_gamma_az	554375.0	9247375.0
-39.2788	4.97	1.57	0.0286	1.02	303.0	A3_gamma_az	550250.0	9247250.0
-42.6345	3.88	2.63	0.2537	2.09	301.99	A3_gamma_az	554500.0	9248375.0
-39.9929	5.05	1.58	0.0586	2.15	334.98	A3_gamma_az	552500.0	9247125.0
-38.7997	3.53	0.76	0.095	0.69	305.18	A3_gamma_az	549125.0	9246500.0
-39.033	2.42	0.94	0.0948	0.41	310.11	A3_gamma_az	549750.0	9246875.0
-38.6613	3.16	0.76	0.3	0.84	317.02	A3_gamma_az	549250.0	9246250.0
-39.3495	5.06	1.82	0.0168	0.95	298.35	A3_gamma_az	550375.0	9247375.0
-39.1209	2.62	1.3	0.0468	0.58	297.53	A3_gamma_az	549375.0	9247000.0
-37.8187	3.79	0.81	0.1532	1.43	298.0	A3_gamma_az	548000.0	9245250.0
-39.0988	3.56	0.27	0.087	0.87	289.35	A3_gamma_az	550750.0	9246750.0
-40.1261	3.98	1.11	0.1831	1.68	289.15	A3_gamma_az	551375.0	9248250.0
-42.4224	3.09	2.35	0.1789	2.38	289.56	A3_gamma_az	554000.0	9248625.0
-40.0947	3.68	1.38	0.0536	1.03	314.78	A3_gamma_az	552125.0	9247625.0
-40.0048	3.87	1.91	0.0628	1.5	313.17	A3_gamma_az	552250.0	9247375.0
-38.0621	5.45	0.81	0.091	3.13	304.31	A3_gamma_az	547000.0	9245625.0
-39.5946	4.44	1.49	0.0834	0.58	302.18	A3_gamma_az	551250.0	9247500.0
-40.3672	4.2	1.63	0.585	0.79	305.71	A3_gamma_az	552125.0	9248000.0
-40.0792	3.97	1.89	0.0682	1.47	317.16	A3_gamma_az	552375.0	9247375.0
-42.1699	4.3	1.86	0.1827	1.44	301.38	A3_gamma_az	554375.0	9248000.0
-40.345	3.56	1.11	0.2456	1.07	285.99	A3_gamma_az	551625.0	9248375.0
-38.79	3.72	0.85	0.1017	0.91	305.61	A3_gamma_az	548875.0	9246500.0
-40.7966	4.49	1.5	0.3814	1.63	302.61	A3_gamma_az	552750.0	9248000.0
-40.2526	3.41	1.2	0.0394	1.16	308.25	A3_gamma_az	552375.0	9247625.0
-42.7562	3.98	3.03	0.1819	2.18	290.54	A3_gamma_az	554250.0	9248750.0
-40.5849	4.82	1.44	0.4306	1.06	315.63	A3_gamma_az	552875.0	9247625.0
